"tet_id","nom","description","budget","forecasted_start_date","project_status","commune","insee_code","leviers","competences"
39321,"1.2.1.1 Améliorer le réseau VéloStras pour disposer d’un réseau cyclable structurant performant à l’échelle de la métropole","Un réseau express cyclable permet de réaffirmer la place du vélo comme moyen de transport à part entière et de répondre au développement de nouveaux usages. La qualité de son infrastructure, sa structure et son identité forte doivent permettre aux habitant·es de se déplacer rapidement, facilement, et de comprendre que le vélo est un moyen de déplacement aussi compétitif que les autres, même pour des distances relativement longues.
VéloStras est un réseau cyclable à haut niveau de services qui se compose de dix itinéraires radiaux allant de la seconde couronne jusqu’au centre-ville, et d’itinéraires circulaires (soit 135 km de réseau) permettant de relier les communes ou éviter le centre- ville piéton de Strasbourg. Une importante partie du réseau est déjà existante, cependant certaines sections doivent encore être développées ou améliorées afin de répondre à la qualité attendue par les usagers. En effet, VéloStras doit être ainsi un réseau visible, lisible et pratique, qui permette d’améliorer les connexions à l’échelle de l’ensemble du territoire métropolitain. Le plan vélo 2022-2026, doté de 100 millions d’euros, permet d’ailleurs de développer ce réseau structurant.
Les actions prévues sont les suivantes:
• Améliorer le confort et la sécurité (largeur, revêtement, éclairage…)
• Améliorer l’efficacité (traitement des intersections pour minimiser les interruptions, connexions lisibles et nombreuses au reste du réseau cyclable…)
• Améliorer la fiabilité (entretien, nettoyage en fonction des saisons…)
• Améliorer la lisibilité (jalonnement efficace et identifiable)
• Améliorer la convivialité (déploiement de services sur le réseau tels que stations de gonflage…)",,,EN_COURS,Ville et Eurométropole de Strasbourg - public,"67482","{Vélo,""Réduction des déplacements"",NULL}","{""Transports publics (hors scolaire)"",""Infrastructures de transport"",""Routes et voiries""}"
4517,"11.6. Communiquer (conférence Arcs; Quéven actus) sur les déchets",,,"2024-01-01 00:00:00+00",FAISABILITE,Quéven,"56185","{""Sobriété déchets"",""Collecte et tri des déchets"",NULL}","{""Collecte et traitement des déchets"",NULL,NULL}"
9143,Réalisation de la « Ferme urbaine » sur la Terre des Lièvres,Création d’une ferme urbaine et d’une plateforme de composatge,,,EN_COURS,Caluire-et-Cuire,"69034","{""Développement de l'agriculture biologique et de HVE"",""Valorisation matière des déchets"",""Sobriété déchets""}","{""Agriculture, pêche et agro-alimentaire > Production agricole et foncier"",""Collecte et traitement des déchets"",""Habitat > Espaces verts""}"
26048,Construire un plan de formation Transition écologique intégré au plan de formation global de la collectivité,"● Définir et engager une démarche afin d'identifier les besoins et souhaits de formation des agent.es sur les thématiques Climat-Air Energie
● Formaliser l'intégration de la transition écologique dans le plan de formation global de la collectivité",,"2024-08-01 00:00:00+00",EN_COURS,Chambéry,"73065","{""Réduction des déplacements"",NULL,NULL}","{""Action sociale (hors APA et RSA) > Inclusion numérique"",""Aménagement des territoires > Paysage"",NULL}"
36699,Nouvelle fiche,"La Ville de Strasbourg, en juillet 2020, et l’Eurométropole de Strasbourg, trois mois plus tard, ont tour à tour déclaré leurs territoires en situation d’état d’urgence climatique, reconnaissant du même coup la nécessité de mettre en œuvre de manière volontariste et rapide des réponses politiques à la hauteur des défis écologiques et environnementaux en jeu.
La mobilisation de toutes les forces vives, à toutes les échelles territoriales et organisationnelles, a été jugée, pour ce faire, indispensable, que ce soit au sein même de la collectivité comme parmi l’ensemble des acteurs extérieurs: habitant.e.s, associations, entreprises, communes, cercles scientifiques.
Afin de générer une grande dynamique territoriale et sensibiliser tous les publics possibles à un engagement individuel et collectif à la question écologique, a été lancée dès septembre 2020 une
« Alliance pour le Climat », appelée à devenir la bannière commune des engagements des acteurs du territoire. L’adhésion à l’Alliance est proposée sur le site « démocratie participative » de la collectivité (https://participer.strasbourg.eu/alliance-climat). Au printemps 2021, un premier dialogue s’est engagé avec ces derniers, par le biais d’une newsletter bimestrielle qui les renseigne sur l’évolution de la transition écologique à Strasbourg comme dans d’autres communes, mais qui valorise aussi telle démarche exemplaire territoriale. Les ambitions de cette newsletter sont déclinées aujourd’hui dans le fil info du climat, publié par l’Agence du climat et l’Eurométropole.
En parallèle, différents réseaux réunissant professionnels, associations, de structures publiques et privées permettant aux nombreux partenaires de la Ville et de l’Eurométropole de monter en compétences et structurer leurs actions en faveur de la transition écologique ont été activés ou relancé: Le Réseau des partenaires, Le Pacte : Penser, aménager et construire en transition écologique, Le Projet Alimentaire territorial, Le Groupe intercommunal pour le Climat (cf. fiches dédiées)… Au-delà de cette liste de réseaux non exhaustive initiés par la collectivité, de nombreux réseaux entretiennent des dynamiques associatives, citoyennes et militantes qui contribuent à la transformation des pratiques.
Au regard de la multiplicité des chantiers engagés et de la mobilisation des acteurs au sein des différents réseaux existants, la priorité a été de s’appuyer sur ces réseaux et démarches pour y faire rayonner les questions climatiques. Une réflexion est actuellement en cours pour déterminer comment regrouper davantage ces réseaux autour des questions climatiques, les transformer en véritables partenaires, ambassadeurs du Plan Climat, et les encourager à devenir des moteurs d’actions concrètes en faveur de la lutte contre le changement climatique.
Après la phase de consolidation de la gouvernance interne à la collectivité, le rôle de coordinateur de l’Eurométropole passe également par l’installation d’une gouvernance élargie du Plan Climat aux acteurs du territoire ; celle-ci c’est déjà traduite concrètement par la 1re conférence territoriale organisée en novembre 2023.",,,FAISABILITE,Ville et Eurométropole de Strasbourg - public,"67482","{""Réduction des déplacements"",NULL,NULL}","{""Aménagement des territoires"",""Industrie, commerce et artisanat > Innovation, créativité et recherche"",""Action sociale (hors APA et RSA) > Citoyenneté""}"
220,"10.2 - Etude de faisabilité et avant projet sommaire d'un réseau de chaleur sur la ZAC","Dans le cadre de Ploemeur 2030, établir l'étude de faisabilité et l'avant projet sommaire d'un réseau de chaleur sur la ZAC susceptible de produire 3300 kw/h","15000.0","2023-01-01 00:00:00+00",EN_COURS,Ploemeur,"56162","{""Réseaux de chaleur décarbonés"",""Changement chaudières gaz + rénovation (résidentiel)"",NULL}","{""Aménagement des territoires > Réseaux"",""Habitat > Bâtiments et construction"",NULL}"
39371,"3.1.2.1 Partager et mettre en oeuvre la révision du Schéma Directeur des Énergies
« 100 % renouvelables et neutralité carbone en 2050 »","Le SDE est un instrument de planification volontaire qui s’appuie sur les schémas directeurs des réseaux de chaleur, des mobilités décarbonées, des réseaux électriques et gaziers. Il s’inscrit également dans les orientations du Plan Climat sur l’axe de décarbonation et de transition énergétique. L’objectif est de fixer les étapes de la transition énergétique tout en mobilisant les acteurs majeurs du territoire. Il assure le lien avec d’autres démarches du territoire comme le Schéma Régional d’Aménagement, de Développement Durable et d’Égalité des Territoires au niveau régional.
Le SDE révisé prend en compte les évolutions suivantes:
• Intégration de la dimension démocratique sur l’acceptabilité du développement des ENRR par la saisine du CODEV (remise du rapport en juin 2023)
• Mise à jour et renforcement des données de diagnostic, potentiel et production énergétique : compléter notre connaissance et de renforcer les points insuffisants étoffés (ex: secteur tertiaire, industrie)
• Impact du changement climatique sur le potentiel (hydraulique, biomasse)
• Impact de l’évolution du climat dans les modélisations
• Estimation des émissions de GES + analyse stockage carbone
• Territorialisation sur 3 zones lancée en 2024 afin de disposer de zones de laboratoire nous permettant de tester, expérimenter, travailler avec les acteurs du territoire dont les citoyens à la mise en œuvre de cette nouvelle feuille de route
• Articulation avec les autres démarches de planification en cours (cf. fiches dédiées)
 
• Acquisition d’un outil de modélisation permettant de mettre à jour et de suivre la trajectoire en régie
• Gouvernance renforcée par la mise de place du Conseil Territorial de la Transition Énergétique (CTTE)",,,EN_COURS,Ville et Eurométropole de Strasbourg - public,"67482","{""Électricité renouvelable"",Biogaz,""Réseaux de chaleur décarbonés""}","{""Aménagement des territoires > Réseaux"",""Industrie, commerce et artisanat > Technologies numériques et numérisation"",NULL}"
17756,Baisser la température de consigne à 16°C la nuit et les week-ends,,,,,Ombrée d'Anjou,"49248","{""Sobriété des bâtiments (résidentiel)"",""Sobriété des bâtiments (tertiaire)"",NULL}","{""Habitat > Bâtiments et construction"",NULL,NULL}"
12783,Connaitre le potentiel de développement des ENR du territoire et programmer leur développement,"- Prendre en compte et quantifier tous les potentiels de développement
- Programmer la mise en oeuvre de l'ensemble du potentiel de production d'énergie renouvelable locale",,,EN_COURS,Sainte-Luce-sur-Loire,"44172","{""Électricité renouvelable"",Biogaz,""Réseaux de chaleur décarbonés""}","{""Industrie, commerce et artisanat > Innovation, créativité et recherche"",""Aménagement des territoires > Réseaux"",NULL}"
13521,Favoriser un tourisme durable,"Elaborer une stratégie touristique durable pour réduire les impacts du tourisme sur les ressources naturelles et les écosystèmes (la pression sur la ressource locale en eau, …), en matière d'émissions GES (notamment liées au transport) et l'accès aux activités touristiques pour tous",,,TERMINE,Larmor-Plage,"56107","{""Réduction des déplacements"",""Sobriété dans l'utilisation de la ressource en eau"",Covoiturage}","{""Développement touristique"",""Actions en matière de gestion des eaux > Eau potable"",""Action sociale (hors APA et RSA) > Egalité des chances""}"
