name,sousTitre,description,logoUrl,redirectionUrl,redirectionLabel,iframeUrl,extendLabel,isListed
UrbanVitaliz,Recommandations d’actions pour faciliter la réhabilitation des friches urbaines,"UrbanVitaliz donne des recommandations d’actions à la collectivité, en fonction du projet qu’elle lui a soumis et des caractéristiques de la friches. Elle oriente ainsi vers les acteurs, dispositifs, financements, prestations, outils et stratégies disponibles, susceptibles de débloquer le porteur de projet. ",https://urbanvitaliz.fr/static/img/favicons/apple-touch-icon.png,https://urbanvitaliz.fr/,,,Voir mes recommandations personnalisées,TRUE
Bénéfriches,L'outil qui calcule la valeur réelle de votre projet d'aménagement,"Bénéfriches quantifie et monétarise les impacts environnementaux, sociaux et économiques d'un projet d'aménagement, sur friche ou en extension urbaine.",https://benefriches.ademe.fr/favicon/favicon-192.png,https://benefriches.ademe.fr/,,,,TRUE
Boussole du CGDD,Un outil pédagogique au service de l'amélioration de l'impact des projets ,"Accompagner le porteur de projet tout au long de sa réflexion, le plus en amont possible, pour améliorer son projet (quelle qu’en soit sa nature), en prenant en compte les impacts environnementaux.",https://www.boussole-te.ecologie.gouv.fr/IMG/svg/img_boussole.svg,https://www.boussole-te.ecologie.gouv.fr/,,,,TRUE
France Chaleur Urbaine,Accélérer le raccordement des bâtiments aux réseaux de chaleur ou développez les réseaux de chaleur dans votre collectivité,"Pour les exploitants ou collectivités qui souhaitent agir pour la transition énergétique, France Chaleur Urbaine constitue une plateforme pour valoriser leur réseau de chaleur, pour acquérir de nouveaux prospects et pour accéder à des données sur les potentiels de raccordement sur leur territoire, à l’échelle des bâtiments, via un outil cartographique.",https://france-chaleur-urbaine.beta.gouv.fr/_next/image?url=%2Flogo-fcu.png&w=256&q=75,https://france-chaleur-urbaine.beta.gouv.fr/collectivites-et-exploitants,,,,TRUE
Docurba,Docurba centralise les ressources nécessaires à chaque étape de vos procédures d'urbanisme (PLU/PLUi/SCOT),"Docurba est l’outil de transformation de la planification territoriale. Il facilite la collaboration entre services de l’Etat, collectivités et bureaux d’études pour faciliter l’élaboration et le suivi d’un document d’urbanisme afin que les enjeux et les politiques publiques soient plus rapidement et mieux pris en compte au niveau local.",https://docurba.beta.gouv.fr/_nuxt/icons/icon_512x512.5f6a36.png,https://docurba.beta.gouv.fr,,,,TRUE
EnvErgo,Simulez votre projet en phase amont !,Simplifier la prise en compte de la réglementation environnementale dans les projets d’aménagement et de construction.,https://beta.gouv.fr/assets/images/favicons/apple-touch-icon-180x180.png,https://envergo.beta.gouv.fr/simulateur/formulaire/,,,,TRUE
Zéro Logement vacant,Accompagner les collectivités pour remobiliser les logements vacants,"Zero Logement Vacant permet aux collectivités de mobiliser efficacement les propriétaires de logements vacants de longue durée et les propriétaires bailleurs de passoires thermiques en les faisant entrer dans un programme de remise sur le marché adapté et leur éviter l’interdiction de remise en location (financement de travaux, intermédiation locative…).",https://media.licdn.com/dms/image/v2/D4E0BAQGeZf8tsf_UFQ/company-logo_200_200/company-logo_200_200/0/1706112782821/zro_logement_vacant_logo?e=2147483647&v=beta&t=iTsIg84ilueG6Jmb5RshE_A5KrWJJWDlXbLQBxjNDrQ,https://zerologementvacant.beta.gouv.fr/,,,,TRUE
Mon diagnostic artificialisation,Faciliter la mise en oeuvre du Zéro Artificialisation Nette,"Mon Diagnostic Artificialisation aide les collectivités à s’inscrire dans la trajectoire du Zéro Artificialisation Nette (ZAN). En libre accès, le service fournit en instantané et toute transparence des diagnostics aux collectivités, services de l’Etat, acteurs de l’aménagement ou citoyens.",https://mondiagartif.beta.gouv.fr/static/favicon/apple-touch-icon.png,https://mondiagartif.beta.gouv.fr/,,,,TRUE
Trackdéchets,"Gérer la traçabilité des déchets, en toute sécurité","Trackdéchets est une plateforme réglementaire, développée par le Ministère de la Transition Écologique. Cette plateforme vise à dématérialiser la traçabilité des déchets dangereux pour simplifier la gestion et sécuriser les filières. Ainsi, Trackdéchets permet progressivement de rendre l'écosystème des déchets plus vertueux.",https://trackdechets.beta.gouv.fr/static/img/apple-touch-icon.png,https://trackdechets.beta.gouv.fr/,,,,TRUE
PrioRéno,Cartographie gratuite des consommations énergétiques des bâtiments publics,PrioRéno Bâtiments publics met à votre disposition gratuitement une vision cartographique de votre parc de bâtiments publics et de ses consommations pour vous aider à établir un plan de rénovation énergétique pertinent face à l’urgence climatique.,https://www.banquedesterritoires.fr/sites/default/files/favicons/apple-touch-icon.png,https://www.banquedesterritoires.fr/produits-services/services-digitaux/offre-prioreno,,,,TRUE
