Code;Nom
10;Production, réseaux et distribution d'énergie
15;Eau et assainissement 
20;Environnement, développement durable et cadre de vie
25;Services funéraires 
30;Sanitaire et social
35;Politique de la ville / Prévention de la délinquance
40;Développement et aménagement économique
45;Développement touristique
50;Développement et aménagement éducatif, sportif et culturel 
55;Aménagement de l'espace communautaire ou métropolitain
60;Transports et voirie
65;Logement et habitat
70;Accueil des gens du voyage
75;Autres
